Grantee,Disaster Type,Disbursement_Velocity,Disbursement_TV_Mean,Disbursement_TV_Std,Disbursement_TV_Count,Disbursement_TV_Min,Disbursement_TV_Max,Disbursement_TV_Lag1_Mean,Disbursement_TV_Lag1_Std,Disbursement_TV_Lag1_Count
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",0.01337058576680166,0.41154374967536295,134.75219922274817,74,-785.2827649638319,819.3088777626499,0.4170910760992002,135.6847430129334,73
Mississippi,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.005933464647235691,0.5850890905599281,0.6182964507911202,7,-0.04707937917987364,1.493174714674672,0.5275746351765295,0.6564770640452445,6
Missouri,2015-2018 Mitigation,0.03809243241807884,3.8062893753397096,2.108667621769454,14,1.387988903021329,8.936427622736993,3.942841063308992,2.129369833495417,13
Missouri,"2017 Hurricanes Harvey, Irma and Maria",0.02585164013361064,2.168809567998932,10.906504301769752,21,-31.252552311564653,26.600242804255743,2.2010849059758875,11.188808338704494,20
Missouri,2019 Disasters,0.011074652408540827,1.1074652408540828,1.071677626244564,8,0.3134922623631324,3.6521921843861014,1.1080583209644816,1.157542716597485,7
"Moore, OK",2011-2013 Hurricane Sandy and Other Events,0.026994999914857386,0.8436677573629008,7.909140635618301,36,-27.620153871375642,16.973853033641262,0.867113409762651,8.023339255558778,35
"Nashville-Davidson, TN",2010 Severe Storms and Flooding,0.02127338337851412,2.1273383378514117,9.391448238947254,47,-33.70533923035407,48.70893342186896,2.1739130434782608,9.48973478591406,46
"Nashville-Davidson, TN","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.00894841099331995,0.894841099331995,1.3611135296551993,3,0.0883910353490884,2.4663378297467684,1.2980661313234483,1.6521856804469097,2
Nebraska,2019 Disasters,0.025278679720993884,-23.439710832163186,47.38777960368707,6,-114.8647139044184,6.199466605338378,-29.367546319663496,50.43270583617357,5
New Jersey,2011-2013 Hurricane Sandy and Other Events,0.01887722016197855,1.8756115700828007,7.9270906056588375,47,-32.72430826891325,18.605612543118156,1.9127935001056247,8.010540632962451,46
New Jersey,2013 National Disaster Resilience,0.030485084,3.0485084000000002,3.3439760555441405,30,-6.694757870490714,12.25593387049072,3.1459039586206896,3.35958315564575,29
New Jersey,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.013371953876713237,1.3262481165052635,0.7951404776650814,6,0.4975006348688903,2.4588935734622264,1.468948073117579,0.7984897569149789,5
