source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,quartiles_velocity_scaled,Capacity_Velocity_Index_scaled_Q2,0.120971272530917,0.5785946112645198,0.2897583739414274,1.155347883930397,156,41,Hazard Ratio (>1 = faster completion),1.0,139,0.41513163307372236,0.4147811204312417,False,False
capacity_sets,Cox_PH,velocity_fixed_18m_pp,Disbursement_Velocity_fixed_18m_pp,0.1217386936276181,1.0888849205987134,0.9775601463905432,1.212887385686836,151,40,Hazard Ratio (>1 = faster completion),1.0,140,0.4147811204312417,0.4147811204312417,False,False
capacity_sets,Cox_PH,velocity_index_early_3q_pp,Capacity_Velocity_Index_early_3q_pp,0.1248801044021824,1.082298880743597,0.9783174375886364,1.1973320951388189,146,40,Hazard Ratio (>1 = faster completion),1.0,141,0.42246673616908514,0.42138107225520777,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_above_q25,0.1254425833547998,2.827229113711728,0.7482286605843383,10.682863250890168,151,40,Hazard Ratio (>1 = faster completion),1.0,142,0.42138107225520777,0.42138107225520777,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_above_q33_x_Disbursement_Velocity_pp,0.1270134549416365,1.2120205771035024,0.946782907928174,1.551563581282721,151,40,Hazard Ratio (>1 = faster completion),1.0,143,0.4236742517983259,0.4236742517983259,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_above_q25,0.1299114310525762,2.805529247452119,0.7382535226060247,10.6616414514688,151,40,Hazard Ratio (>1 = faster completion),1.0,144,0.4303316153616586,0.4303316153616586,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q67_interaction,Ratio_disbursed_to_obligated_high_q67,0.1350648157143299,1.624889641159535,0.8596557656368429,3.071306506031078,151,40,Hazard Ratio (>1 = faster completion),1.0,145,0.44431666962576116,0.44431666962576116,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q75_interaction,Ratio_disbursed_to_obligated_high_q75_x_Capacity_Velocity_Index_pp,0.1549661817916904,1.2454997163487087,0.920341895423468,1.6855361590498317,151,40,Hazard Ratio (>1 = faster completion),1.0,150,0.49279245809757544,0.49279245809757544,False,False
capacity_sets,Cox_PH,velocity_early_2q_pp,Disbursement_Velocity_early_2q_pp,0.1577872038244215,1.060292222684085,0.9775674854748811,1.1500173790438988,151,40,Hazard Ratio (>1 = faster completion),1.0,152,0.4951611593700596,0.4951611593700596,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_c,0.160603902346623,2.5223957689478445,0.6926362895575617,9.185889493705533,151,40,Hazard Ratio (>1 = faster completion),1.0,153,0.5007062837865305,0.5007062837865305,False,False
