Model,Variable,Coefficient,SE,Effect_Ratio,Effect_Lower,Effect_Upper,p_value,Interpretation,Capacity_Set,N,Events
AFT_lognormal,Ratio_disbursed_to_obligated_high_q33,-6.18018992011942,,0.002070034676072298,,,,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q33_x_Capacity_Velocity_Index_pp,0.6990401593281254,,2.0118207530512873,,,,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q67,0.5017880671991638,0.3216729787559326,1.6516719323293174,0.8792558221189863,3.1026466966917496,0.11877588229507993,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.2707200010916076,0.10660306602649834,1.310907966193063,1.0637302464870475,1.6155220757364803,0.011100653553523469,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q67_x_Capacity_Velocity_Index_pp,0.2997883078561027,0.14355326984047612,1.3495730833149264,1.018599932403101,1.7880891695242884,0.0367670046551818,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-0.2575747901560827,0.04368796557628948,0.7729238170588107,0.70949514216847,0.8420229984251342,3.729074682622122e-09,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q67,-0.28738587186619413,0.11022344624085383,0.7502221833429839,0.604459954517556,0.9311341804754193,0.009125868730777451,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q67_x_Capacity_Velocity_Index_pp,0.09700737202734852,0.04976149714651637,1.1018684965957606,0.9994767667376749,1.21474978128117,0.05124213659212189,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q67_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q75,0.7063283761857687,0.2914918493967632,2.02653690107619,1.1445537803693524,3.588168491390756,0.015386586300858015,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.30169557667063024,0.1066270199698017,1.352149538184646,1.0971440197273012,1.6664251372097747,0.004662842006274779,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q75_x_Capacity_Velocity_Index_pp,0.2195368279791719,0.1543634897783945,1.2454997163487087,0.920341895423468,1.6855361590498317,0.15496618179169042,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-0.24443065542698944,0.03497439440639573,0.7831502937051728,0.7312651162574834,0.8387168605408257,2.7715649402219997e-12,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q75,-0.2819780493178722,0.08623248059836289,0.7542902415366936,0.6369968263603678,0.8931814805551476,0.0010755701796547536,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q75_x_Capacity_Velocity_Index_pp,0.09324169914358968,0.04294259036094859,1.0977270228882225,1.0091170782991639,1.1941177517380233,0.029907705977396285,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q75_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_c,0.7138244287415321,0.703641100218974,2.041785007094685,0.5141260625441368,8.108684462653066,0.3103574245416785,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_above,1.5910810743623411,0.888335163521919,4.909053112164381,0.8606874467696408,27.99948174973293,0.07328014569789823,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.12153246367923376,0.06727026519908375,1.1292260241615546,0.9897381821135651,1.2883724571690796,0.07082002471681044,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_above_x_Disbursement_Velocity_pp,0.2550924604935804,0.19776137084551093,1.2905809431075137,0.8758918067963225,1.9016037800426573,0.19708526096585832,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.1372467917517896,0.06010281394258572,0.8717550576244925,0.7748807422412077,0.9807404405171293,0.02239895926733106,Time Ratio (<1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_above,79.9611465633321,9996.893154106052,5.329478556200245e+34,0.0,inf,0.9936181088426759,Time Ratio (<1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_above_x_Disbursement_Velocity_pp,0.2340996737350048,0.24356057112738508,1.2637704506513043,0.7840595744273435,2.036982652888197,0.33647379915126463,Time Ratio (<1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_c,-80.61132677360136,9996.893073304002,9.793673090591309e-36,0.0,inf,0.9935662174666706,Time Ratio (<1 = faster completion),ratio_velocity_pp_spline_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_c,0.6990046726913628,0.7059115625142576,2.011749361565722,0.5043138098356299,8.025034045923045,0.3220687275022242,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_spline_interaction,151,40
