Grantee,Disaster Type,Expenditure_Velocity,Expenditure_TV_Mean,Expenditure_TV_Std,Expenditure_TV_Count,Expenditure_TV_Min,Expenditure_TV_Max,Expenditure_TV_Lag1_Mean,Expenditure_TV_Lag1_Std,Expenditure_TV_Lag1_Count
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,0.023756484465253913,2.3120606969307507,3.084599545478523,32,-3.953404618233522,12.857265623998648,2.386643300057549,3.106119341253646,31
"Houston, TX",2015-2018 Mitigation,0.027149345578437043,2.4328751930376398,6.0377160616151855,11,-9.03677690070682,17.058682067037783,2.676162712341404,6.307221456671464,10
Illinois,2008 Hurricane Ike and Other Events,0.0188450504740705,1.88450504740705,11.446104157190314,45,-57.262208092037845,42.50253157174347,1.927334707575392,11.57478529070491,44
Illinois,2008 Midwest Floods,0.027326525449742817,2.7326525449742816,11.490458839701454,33,-43.97040752506779,32.56031324048228,2.818047937004728,11.663673788019087,32
Illinois,2011-2013 Hurricane Sandy and Other Events,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,10
Indiana - OCRA,2008 Hurricane Ike and Other Events,0.016666666666666666,1.6666666666666672,12.502574098136503,60,-52.42212784463506,67.15538491054765,1.694915254237288,12.607962951032432,59
Iowa,2019 Disasters,0.04230502605834455,4.096184856799766,7.828886106403876,16,-18.586330820047557,20.74965944018877,4.362509519807142,8.028293479649761,15
Iowa,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.019933298152461067,1.9355716115706583,2.5859695857891154,8,-0.36908927361129507,7.348833702356522,2.2126163524323186,2.661843306739224,7
"Jefferson County, AL",2011 Multiple Disasters,0.023975216324537484,2.2343310540369488,12.443541726300284,39,-55.14898598588758,24.84405927093428,2.2912309308243484,12.605433887424681,38
"Jefferson County, AL",2011-2013 Hurricane Sandy and Other Events,0.024172294758674346,2.4172294758674346,5.564031485766616,39,-15.359315456705014,17.257125745376822,2.480840777863946,5.624329871870381,38
"Jefferson Parish, LA",2011-2013 Hurricane Sandy and Other Events,0.00723419932100963,0.7234199321009633,21.409569465881603,28,-60.16326378172012,34.558617996196375,0.7502132629195175,21.816929054909966,27
"Joplin, MO",2011 Multiple Disasters,0.01897917252377135,1.4543789017354989,343.73610701255,48,-1019.1955273338427,1933.4591,1.485323133687318,347.45221345475835,47
"Kauai County, HI",2018 Disasters,0.014273011115954665,1.4273011115954666,1.4248160909189442,16,0.0,6.271521904969486,1.5224545190351644,1.4212296578956518,15
Kentucky,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.011544427924640175,1.1544427924640175,2.308885584928035,4,0.0,4.61777116985607,1.53925705661869,2.666071427972495,3
Kentucky,2022 Disasters including Hurricanes Fiona and Ian,0.0,0.0,,1,0.0,0.0,,,0
"Lake Charles, LA","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.012296673500563618,1.1162158678312233,2.401449670900553,2,-0.5818654791407606,2.814297214803207,2.814297214803207,,1
"Lee County, FL",2022 Disasters including Hurricanes Fiona and Ian,0.013348543873211417,0.7224893180503712,2.9771903186511173,4,-2.3496201050600454,3.500627808367941,1.3958309317967863,3.2519470655884226,3
"Lexington County, SC",2015 Hurricane Joaquin and Patricia and Other Events,0.026343713254939845,2.6343713254939845,4.317328544023814,31,-9.107635659188752,12.579265869262482,2.7221837030104505,4.36288630350228,30
"Lexington County, SC",2015-2018 Mitigation,0.026201084458347047,2.6201084458347053,5.198394414503352,16,0.0,19.165762265393475,2.7947823422236855,5.332025442764053,15
Louisiana,"2005 Hurricanes Katrina, Rita, Wilma",0.013398967036687876,0.9848227767120609,6.3561143960961495,74,-18.51859582215711,37.703012791371386,0.998366867792591,6.3990265426392945,73
Louisiana,2008 Hurricane Ike and Other Events,0.016019994787677284,1.3321529283535982,10.269287364765779,62,-27.79937077039084,70.72234445333369,1.3538276081433775,10.35308109486628,61
Louisiana,2011-2013 Hurricane Sandy and Other Events,0.022727272727272728,2.272727272727273,13.584293868797777,44,-26.56636787765044,81.04036724723676,2.322869354471982,13.740939695664682,43
Louisiana,2013 National Disaster Resilience,0.03010126306528546,2.8438958837914745,12.347856105358826,31,-23.58580581101421,49.38069416341276,2.9386924132511902,12.547467359098523,30
Louisiana,2015-2018 Mitigation,0.010277773416693607,1.0277773416693607,2.3593671443518147,18,-6.330794085667396,5.062155628437037,1.0882348323557938,2.4175654511342293,17
Louisiana,2016 Louisiana Floods and Other Events,0.029489627486552625,2.9489627486552625,2.7856502338074938,31,-2.675806509709955,11.072623808707634,3.047261506943771,2.7780491547745494,30
Louisiana,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.03829165658059496,3.8291656580594964,6.605352273635549,9,-8.318042250271745,12.672708206561122,4.307811365316933,6.892543651647964,8
"Luzerne County, PA",2011 Multiple Disasters,0.020040955483418707,1.877216913960807,3.0968199972816084,49,-4.448986756797973,10.640841569281639,1.9163255996683237,3.1173391468635114,48
"Luzerne County, PA",2011-2013 Hurricane Sandy and Other Events,0.0761530002706334,7.605199420066667,8.019911393585073,13,0.06630141477202978,19.827533741060567,8.233440920507887,8.035469740201949,12
Maryland,2011-2013 Hurricane Sandy and Other Events,0.02700489164006385,0.34118746208322026,10.662983359851943,35,-27.70476361002141,24.2521585682388,0.2521641133258914,10.810127608533636,34
Michigan,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3
"Minot, ND",2011 Multiple Disasters,0.02104086916251748,-1.2332246369918949,8.20017964240646,46,-55.61286909025214,0.4630057582069691,-1.2606296289250483,8.290709392325391,45
"Minot, ND",2011-2013 Hurricane Sandy and Other Events,0.03389352019486897,1.5313421029312504e-17,2.004115496716156,29,-7.89800916907496,6.321482749852015,1.586032892321652e-17,2.0408913255857346,28
"Minot, ND",2013 National Disaster Resilience,0.03076228331948483,0.0,3.5920879863142816,32,-9.108916542931834,9.108916542931834,0.0,3.6514653640427936,31
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",0.013380217393575592,0.412506912352754,140.41892757959565,74,-813.4239370069565,858.9304856180363,0.41815769197402464,141.3906879868849,73
